ID,APOYO_ALIMENTOS ,SEXO ,AÑO ACTUAL,AÑO,EDAD,ESTUDIOS ,C.P 
132,0,F,14/07/2022,1994,28,PREPARATORIA ,96535
1391,1,F,14/07/2022,1979,43,SIN ESCOLARIDAD,96535
1404,1,M,14/07/2022,1963,59,SECUNDARIA,96536
1405,1,F,14/07/2022,1952,70,PRIMARIA ,96535
178,0,F,14/07/2022,1994,28,PRIMARIA ,96535
140,0,F,14/07/2022,1990,32,PREPARATORIA,96535
161,1,M,14/07/2022,1985,37,PRIMARIA,96535
164,0,M,14/07/2022,1959,63,PRIMARIA,96535
214,1,F,14/07/2022,1962,60,SECUNDARIA,96535
156,0,F,14/07/2022,1967,55,PREPARATORIA,96535
162,0,F,14/07/2022,1989,33,SECUNDARIA ,96535
163,0,F,14/07/2022,1958,64,PREPARATORIA,96535
170,0,F,14/07/2022,65 AÑOS,65,PREPARATORIA,96535
172,1,F,14/07/2022,1950,72,SIN ESCOLARIDAD,96535
173,0,F,14/07/2022,1969,53,PREPARATORIA,96535
176,0,F,14/07/2022,1972,50,UNIVERSIDAD,96535
177,1,M,14/07/2022,1956,66,PRIMARIA,96535
183,1,M,14/07/2022,1957,65,SECUNDARIA,96535
194,0,F,14/07/2022,1980,42,PREPARATORIA,96535
201,1,F,14/07/2022,1977,45,PRIMARIA,96535
217,1,M,14/07/2022,1971,51,PRIMARIA,96535
1390,0,M,14/07/2022,1987,35,UNIVERSIDAD,96535
231,1,F,14/07/2022,1992,30,PRIMARIA ,96535
272,0,F,14/07/2022,1983,39,SECUNDARIA,96535
240,0,F,14/07/2022,1986,36,SECUNDARIA,96535
270,0,F,14/07/2022,1998,24,PREPARATORIA,96535
314,1,F,14/07/2022,1956,66,PREPARATORIA,96535
327,1,F,14/07/2022,1973,49,PRIMARIA ,96535
345,1,F,14/07/2022,1981,41,SECUNDARIA,96535
222,0,M,14/07/2022,1973,49,PREPARATORIA,96535
228,1,M,14/07/2022,1962,60,SECUNDARIA,96535
230,1,M,14/07/2022,1971,51,SIN ESCOLARIDAD,96535
233,1,F,14/07/2022,1969,53,SECUNDARIA,96535
244,0,F,14/07/2022,1979,43,PREPARATORIA,96535
277,0,F,14/07/2022,1990,32,SECUNDARIA,96535
278,1,F,14/07/2022,1982,40,PRIMARIA,96535
279,1,M,14/07/2022,1984,38,PRIMARIA,96535
286,1,M,14/07/2022,1969,53,SECUNDARIA,96535
291,1,F,14/07/2022,1990,32,PRIMARIA,96535
292,0,F,14/07/2022,1982,40,SECUNDARIA,96535
311,0,F,14/07/2022,1979,43,SECUNDARIA,96535
315,1,F,14/07/2022,1991,31,PRIMARIA,96535
316,1,M,14/07/2022,1991,31,PRIMARIA,96535
328,1,F,14/07/2022,1990,32,PRIMARIA,96535
330,1,F,14/07/2022,1987,35,PRIMARIA,96535
